date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2006-05-24,35.2,ppth      ,27.49,-80.34,21FLMRC-IR3660
2005-04-27,33.3,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2006-10-05,33.2,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2006-10-05,34,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2006-04-24,31.8,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2006-07-25,35.8,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-07-25,34.8,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2005-01-12,33.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-07-25,35,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2006-02-27,33.6,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-10-02,35.6,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-03-27,30.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2005-01-30,35.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2005-01-06,34,ppth      ,27.42,-80.31,21FLMRC-IR3731
2005-02-12,32.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2005-11-20,33,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-09-30,33.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2005-04-30,32.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2005-05-15,32.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2005-07-24,30.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-02-27,33,ppth      ,27.5093333,-80.3245,21FLSEAS-70SEAS307
2006-04-24,32.2,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2005-10-06,32.7,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2006-10-05,34.2,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2006-12-20,32,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-12-17,32.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-30,30.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-12-03,37.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
2012-01-25,32.78,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2012-10-09,31.48,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2006-07-25,33.5,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2006-07-25,33.5,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2006-03-08,30.6,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-10-05,31.6,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2006-04-24,31.9,ppth      ,27.5275,-80.346833,21FLSEAS-70SEAS122
2006-04-24,33.5,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2006-07-25,33.6,ppth      ,27.517,-80.326,21FLSEAS-70SEAS110
2006-07-25,33.3,ppth      ,27.5508333,-80.331166,21FLSEAS-70SEAS160
2006-12-19,30.5,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2006-12-19,30.5,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2006-04-24,32.3,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2006-02-27,33.5,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2006-07-25,32.5,ppth      ,27.5468333,-80.352,21FLSEAS-70SEAS161
2012-05-29,34.2,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
